Tue May 28 22:01:08 2024    profile_output

         45933902 function calls (45681166 primitive calls) in 124.379 seconds

   Ordered by: cumulative time
   List reduced from 5411 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1397/1    0.028    0.000  124.414  124.414 {built-in method builtins.exec}
        1    0.459    0.459  124.412  124.412 /mnt/c/Users/Kim/Programmering/deep-q-learning-rogue/src/deep_q_learning.py:246(run_training)
    13869   24.865    0.002   70.564    0.005 /mnt/c/Users/Kim/Programmering/deep-q-learning-rogue/src/deep_q_learning.py:65(replay)
    13869    0.043    0.000   23.423    0.002 /mnt/c/Users/Kim/Programmering/deep-q-learning-rogue/src/environment.py:278(render)
    13869    0.184    0.000   23.380    0.002 /mnt/c/Users/Kim/Programmering/deep-q-learning-rogue/src/game.py:638(render_game)
    13615    0.096    0.000   19.561    0.001 /mnt/c/Users/Kim/Programmering/deep-q-learning-rogue/venv/lib/python3.10/site-packages/torch/_compile.py:20(inner)
    13869    0.128    0.000   18.003    0.001 /mnt/c/Users/Kim/Programmering/deep-q-learning-rogue/src/environment.py:35(step)
    13616    0.063    0.000   15.562    0.001 /mnt/c/Users/Kim/Programmering/deep-q-learning-rogue/venv/lib/python3.10/site-packages/torch/_dynamo/decorators.py:36(disable)
    13616    0.230    0.000   15.361    0.001 /mnt/c/Users/Kim/Programmering/deep-q-learning-rogue/venv/lib/python3.10/site-packages/torch/_dynamo/eval_frame.py:351(__call__)
    13869    0.078    0.000   15.331    0.001 /mnt/c/Users/Kim/Programmering/deep-q-learning-rogue/src/environment.py:74(_smooth_delay)
    13869   14.888    0.001   14.888    0.001 {built-in method time.sleep}
    17505   12.883    0.001   12.883    0.001 {built-in method posix.stat}
    13614    0.076    0.000   12.395    0.001 /mnt/c/Users/Kim/Programmering/deep-q-learning-rogue/venv/lib/python3.10/site-packages/torch/_tensor.py:466(backward)
    13614    0.083    0.000   12.316    0.001 /mnt/c/Users/Kim/Programmering/deep-q-learning-rogue/venv/lib/python3.10/site-packages/torch/autograd/__init__.py:165(backward)
    14836    0.112    0.000   11.653    0.001 /usr/lib/python3.10/inspect.py:813(getsourcefile)
    13614    0.073    0.000   11.544    0.001 /mnt/c/Users/Kim/Programmering/deep-q-learning-rogue/venv/lib/python3.10/site-packages/torch/autograd/graph.py:739(_engine_run_backward)
    13614   11.452    0.001   11.452    0.001 {method 'run_backward' of 'torch._C._EngineBase' objects}
    14790    0.035    0.000   11.339    0.001 /usr/lib/python3.10/genericpath.py:16(exists)
    13869    7.040    0.001    7.040    0.001 {built-in method pygame.transform.scale}
    13869    6.844    0.000    6.844    0.000 {built-in method pygame.display.flip}
147870/47178    0.153    0.000    6.682    0.000 /mnt/c/Users/Kim/Programmering/deep-q-learning-rogue/venv/lib/python3.10/site-packages/torch/nn/modules/module.py:1528(_wrapped_call_impl)
147870/47178    0.279    0.000    6.606    0.000 /mnt/c/Users/Kim/Programmering/deep-q-learning-rogue/venv/lib/python3.10/site-packages/torch/nn/modules/module.py:1534(_call_impl)
        1    0.000    0.000    6.564    6.564 /mnt/c/Users/Kim/Programmering/deep-q-learning-rogue/src/deep_q_learning.py:35(__init__)
  3406/12    0.006    0.000    6.363    0.530 <frozen importlib._bootstrap>:1022(_find_and_load)
   761/11    0.002    0.000    6.363    0.578 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
   729/11    0.002    0.000    6.357    0.578 <frozen importlib._bootstrap>:664(_load_unlocked)
   726/11    0.001    0.000    6.357    0.578 <frozen importlib._bootstrap_external>:877(exec_module)
   920/11    0.000    0.000    6.349    0.577 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
        1    0.000    0.000    6.318    6.318 /mnt/c/Users/Kim/Programmering/deep-q-learning-rogue/venv/lib/python3.10/site-packages/torch/optim/adam.py:15(__init__)
        1    0.000    0.000    6.318    6.318 /mnt/c/Users/Kim/Programmering/deep-q-learning-rogue/venv/lib/python3.10/site-packages/torch/optim/optimizer.py:250(__init__)
        1    0.000    0.000    6.315    6.315 /mnt/c/Users/Kim/Programmering/deep-q-learning-rogue/venv/lib/python3.10/site-packages/torch/_dynamo/__init__.py:1(<module>)
    82127    5.468    0.000    5.500    0.000 {method 'to' of 'torch._C.TensorBase' objects}
    13614    0.191    0.000    5.484    0.000 /mnt/c/Users/Kim/Programmering/deep-q-learning-rogue/venv/lib/python3.10/site-packages/torch/optim/optimizer.py:374(wrapper)
    33564    0.359    0.000    5.453    0.000 /mnt/c/Users/Kim/Programmering/deep-q-learning-rogue/src/deep_q_learning.py:25(forward)
    13614    0.106    0.000    4.791    0.000 /mnt/c/Users/Kim/Programmering/deep-q-learning-rogue/venv/lib/python3.10/site-packages/torch/optim/optimizer.py:58(_use_grad)
    13614    0.078    0.000    4.597    0.000 /mnt/c/Users/Kim/Programmering/deep-q-learning-rogue/venv/lib/python3.10/site-packages/torch/optim/adam.py:135(step)
    13869    1.515    0.000    4.512    0.000 /mnt/c/Users/Kim/Programmering/deep-q-learning-rogue/src/game.py:435(draw_game_based_on_visibility)
    13869    0.858    0.000    4.113    0.000 /mnt/c/Users/Kim/Programmering/deep-q-learning-rogue/src/deep_q_learning.py:56(act)
    13616    0.016    0.000    4.092    0.000 /mnt/c/Users/Kim/Programmering/deep-q-learning-rogue/venv/lib/python3.10/site-packages/torch/_dynamo/trace_rules.py:3377(check)
    13616    0.081    0.000    4.076    0.000 /mnt/c/Users/Kim/Programmering/deep-q-learning-rogue/venv/lib/python3.10/site-packages/torch/_dynamo/trace_rules.py:3342(check_verbose)
    13614    0.129    0.000    3.824    0.000 /mnt/c/Users/Kim/Programmering/deep-q-learning-rogue/venv/lib/python3.10/site-packages/torch/optim/adam.py:260(adam)
    13616    0.043    0.000    3.778    0.000 /mnt/c/Users/Kim/Programmering/deep-q-learning-rogue/venv/lib/python3.10/site-packages/torch/_dynamo/trace_rules.py:3432(lookup_inner)
2656/2650    0.001    0.000    3.549    0.001 /usr/lib/python3.10/importlib/__init__.py:108(import_module)
2658/2650    0.001    0.000    3.548    0.001 <frozen importlib._bootstrap>:1038(_gcd_import)
        1    0.001    0.001    3.540    3.540 /mnt/c/Users/Kim/Programmering/deep-q-learning-rogue/venv/lib/python3.10/site-packages/torch/_dynamo/trace_rules.py:2777(get_torch_obj_rule_map)
     2640    0.002    0.000    3.539    0.001 /mnt/c/Users/Kim/Programmering/deep-q-learning-rogue/venv/lib/python3.10/site-packages/torch/_dynamo/trace_rules.py:2803(load_object)
     2640    0.001    0.000    3.509    0.001 /mnt/c/Users/Kim/Programmering/deep-q-learning-rogue/venv/lib/python3.10/site-packages/torch/_dynamo/trace_rules.py:2793(_load_obj_from_str)
    13614    0.198    0.000    3.413    0.000 /mnt/c/Users/Kim/Programmering/deep-q-learning-rogue/venv/lib/python3.10/site-packages/torch/optim/adam.py:450(_multi_tensor_adam)
        1    0.000    0.000    3.386    3.386 /mnt/c/Users/Kim/Programmering/deep-q-learning-rogue/venv/lib/python3.10/site-packages/torch/distributed/_tensor/__init__.py:1(<module>)
        1    0.000    0.000    3.380    3.380 /mnt/c/Users/Kim/Programmering/deep-q-learning-rogue/venv/lib/python3.10/site-packages/torch/distributed/_tensor/ops/__init__.py:1(<module>)


